sku,name,barcode_type,barcode_name,barcode_value,brand,description,primary_unit,dimension_unit,width,length,height,weight_unit,weight,inventory_method,unit_cost,retail_price,reorder_threshold,track_by_lot,track_by_exp_date,track_by_handling_unit,skip_inventory_check,shipment_type,inventory_planning,minimum_stock_level,minimum_stock_level_unit,tariff_code,country_code,customs_value,customs_description,is_haz_mat,proper_shipping_name,hazard_class,un_id,packing_group,transport_mode,limited_quantity,contains_lithium,lithium_ion_content_grams,battery_status,battery_count
830-00269,"COVER ASSY, GITD GREEN",Other,barcode,83000269,"Quip, NYC Inc","COVER ASSY, GITD GREEN",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,0.17,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.58,Plastic tubing,FALSE,,,,,,,,,,
830-00270,"COVER ASSY, GITD PINK",Other,barcode,83000270,"Quip, NYC Inc","COVER ASSY, GITD PINK",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,4.15,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$0.75,Plastic tubing,FALSE,,,,,,,,,,
850-00049,MOTOR HOUSING ASSY,Other,barcode,85000049,"Quip, NYC Inc",MOTOR HOUSING ASSY,Each,inches,0.25,4,0.25,lbs,0.18,FEFO,0.75,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CN,,,FALSE,,,,,,,,,,
900-00005,"FINISHED GOOD, TOOTHBRUSH, CP",Other,barcode,90000005,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, CP",Each,inches,2.4,8.4,2.2,lbs,0.2,FEFO,6.58,25,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.68,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00006,"FINISHED GOOD, TOOTHBRUSH, GD",Other,barcode,90000006,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, GD",Each,inches,2.4,8.4,2.2,lbs,0.2,FEFO,4.64,25,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.55,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00007,"FINISHED GOOD, TOOTHBRUSH, SV",Other,barcode,90000007,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, SV",Each,inches,2.4,8.4,2.2,lbs,0.2,FEFO,7.01,25,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.66,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00008,"FINISHED GOOD, TOOTHBRUSH, KK",Other,barcode,90000008,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, KK",Each,inches,2.4,8.4,2.2,lbs,0.2,FEFO,7.45,25,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.50,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00014,"FINISHED GOOD, TOOTHBRUSH, AZ",UPC,UPC,857576008004,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, AZ",Each,inches,2.4,8.4,2.2,lbs,0.20,FEFO,7.29,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$3.53,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00015,"FINISHED GOOD, TOOTHBRUSH, TQ",UPC,UPC,857576008035,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, TQ",Each,inches,2.4,8.4,2.2,lbs,0.20,FEFO,9.1,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$3.63,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00073,"FINISHED GOOD, TOOTHBRUSH, DARK AQUA",Other,barcode,90000073,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, DARK AQUA",Each,inches,2.4,8.4,2.2,lbs,0.2,FEFO,6.61,25,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.93,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00094,"FINISHED GOOD, CHARGER",Other,barcode,90000094,"Quip, NYC Inc","FINISHED GOOD, CHARGER",Each,inches,9.4,2.7,2.8,lbs,0.75,FEFO,25.68,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8501.31.8100,CN,$25.68,"Solar battery charger, NiMH battery",FALSE,,,,,,,,,,
900-00096,"FINISHED GOOD, TOILETRY BAG, black",UPC,UPC,810033472084,"Quip, NYC Inc","FINISHED GOOD, TOILETRY BAG, black",Each,inches,9.4,2.7,2.8,lbs,0.75,FEFO,1.56,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4202.92.4500,CN,$8.37,Fabric accessory bag,FALSE,,,,,,,,,,
900-00097,"FINISHED GOOD, TOILETRY BAG, silver",UPC,UPC,810033472190,"Quip, NYC Inc","FINISHED GOOD, TOILETRY BAG, silver",Each,inches,9.4,2.7,2.8,lbs,0.75,FEFO,2.77,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4202.92.4500,CN,$2.49,Fabric accessory bag,FALSE,,,,,,,,,,
900-00102,"FINISHED GOOD, FLATS, BRUSH HEAD REFILL",UPC,UPC,810033471933,"Quip, NYC Inc","FINISHED GOOD, FLATS, BRUSH HEAD REFILL",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,0.99,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,US,$0.52,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00109,"FINISHED GOOD, FLATS, BRUSH HEAD REFILL, ALL BLACK",Other,barcode,90000109,"Quip, NYC Inc","FINISHED GOOD, FLATS, BRUSH HEAD REFILL, ALL BLACK",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,6.31,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,US,$1.70,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00110,"FINISHED GOOD, FLATS, BRUSH HEAD REFILL, KIDS",Other,barcode,90000110,"Quip, NYC Inc","FINISHED GOOD, FLATS, BRUSH HEAD REFILL, KIDS",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,6.97,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,US,$0.62,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00111,"FINISHED GOOD, VANDAM, METAL, GD",Other,barcode,90000111,"Quip, NYC Inc","FINISHED GOOD, VANDAM, METAL, GD",Each,inches,1.93,4.1,1.93,lbs,0.23,FEFO,6.25,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$8.20,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00112,"FINISHED GOOD, VANDAM, METAL, SV",Other,barcode,90000112,"Quip, NYC Inc","FINISHED GOOD, VANDAM, METAL, SV",Each,inches,1.93,4.1,1.93,lbs,0.23,FEFO,6.28,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$8.27,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00113,"FINISHED GOOD, VANDAM, METAL, KK",Other,barcode,90000113,"Quip, NYC Inc","FINISHED GOOD, VANDAM, METAL, KK",Each,inches,1.93,4.1,1.93,lbs,0.23,FEFO,8.02,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$8.02,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00114,"FINISHED GOOD, VANDAM, METAL, CP",Other,barcode,90000114,"Quip, NYC Inc","FINISHED GOOD, VANDAM, METAL, CP",Each,inches,1.93,4.1,1.93,lbs,0.23,FEFO,5.63,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$8.27,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00115,"FINISHED GOOD, VANDAM, PLASTIC",Other,barcode,90000115,"Quip, NYC Inc","FINISHED GOOD, VANDAM, PLASTIC",Each,inches,1.93,4.1,1.93,lbs,0.23,FEFO,4.88,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$7.52,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00120,"MOTOR HOUSING ASSY, SMART-A",Other,barcode,90000120,"Quip, NYC Inc","MOTOR HOUSING ASSY, SMART-A",Each,inches,0.25,4,0.25,lbs,0.20,FEFO,13.58,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.90.5500,CN,$9.72,"Motor, bluetooth-enabled",FALSE,,,,,,,,,,
900-00121,"FINISHED GOOD, BRUSH HEAD, SOFT",Other,barcode,90000121,"Quip, NYC Inc","FINISHED GOOD, BRUSH HEAD, SOFT",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,13.58,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,US,$0.97,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00122,"FINISHED GOOD, MOUTHWASH REFILL, ANTI-CAVITY",UPC,UPC,857576008721,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH REFILL, ANTI-CAVITY",Each,inches,1.75,5.5,1.75,lbs,0.364,FEFO,1.88,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.90.0000,US,$1.86,"Mouthwash, anti-cavity",FALSE,,,,,,,,,,
900-00123,"FINISHED GOOD, REFILL VANDAM",Other,barcode,90000123,"Quip, NYC Inc","FINISHED GOOD, REFILL VANDAM",Each,inches,1.75,2.25,0.5,lbs,0.23,FEFO,4.89,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$1.20,Dental floss,FALSE,,,,,,,,,,
900-00127,"FINISHED GOOD, TOOTHBRUSH, SMART-A, ALL BLACK",Other,barcode,90000127,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, SMART-A, ALL BLACK",Each,inches,2.4,8.4,2.2,lbs,0.32,FEFO,11.97,40,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$11.97,"Electric toothbrush, alkaline battery enclosed, bluetooth-enabled",FALSE,,,,,,,,,,
900-00128,"FINISHED GOOD, TOOTHBRUSH, SMART-A, ALL WHITE",UPC,UPC,810033472022,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, SMART-A, ALL WHITE",Each,inches,2.4,8.4,2.2,lbs,0.32,FEFO,4,40,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$10.46,"Electric toothbrush, alkaline battery enclosed, bluetooth-enabled",FALSE,,,,,,,,,,
900-00129,"FINISHED GOOD, TOOTHBRUSH, SMART-A, KIDS YELLOW",Other,barcode,90000129,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, SMART-A, KIDS YELLOW",Each,inches,2.4,8.4,2.2,lbs,0.32,FEFO,4,40,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$13.03,"Electric toothbrush, alkaline battery enclosed, bluetooth-enabled",FALSE,,,,,,,,,,
900-00131,"FINISHED GOOD, REFILL PACK, 9 COUNT, MINT GUM",Other,barcode,90000131,"Quip, NYC Inc","FINISHED GOOD, REFILL PACK, 9 COUNT, MINT GUM",Each,inches,8,4,1,lbs,0.20,FEFO,9.77,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,1704.10.0000,CA,$8.83,Chewing gum,FALSE,,,,,,,,,,
900-00133,"FINISHED GOOD, TOOTHBRUSH, PL MAGENTA (MG)",Other,barcode,90000133,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, PL MAGENTA (MG)",Each,inches,2.4,8.4,2.2,lbs,0.20,FEFO,4.09,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.20,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00135,"FINISHED GOOD, STRAND, ALL BLACK",Other,barcode,90000135,"Quip, NYC Inc","FINISHED GOOD, STRAND, ALL BLACK",Each,inches,1,3.9,1,lbs,0.20,FEFO,3.76,15,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$3.77,"Dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00137,"FINISHED GOOD, TOOTHBRUSH, KIDS, PINK",UPC,UPC,810033472077,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, KIDS, PINK",Each,inches,1.25,8.5,1.25,lbs,0.3,FEFO,3.72,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.78,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00138,"FINISHED GOOD, TOOTHBRUSH, KIDS, PURPLE",UPC,UPC,810033472046,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, KIDS, PURPLE",Each,inches,1.25,8.5,1.25,lbs,0.300,FEFO,11.12,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.18,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00139,"FINISHED GOOD, TOOTHBRUSH, KIDS, GREEN",UPC,UPC,810033472176,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, KIDS, GREEN",Each,inches,1.25,8.5,1.25,lbs,0.300,FEFO,3.6,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.04,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00140,"FINISHED GOOD, TOOTHBRUSH, KIDS, BLUE",UPC,UPC,810033472121,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, KIDS, BLUE",Each,inches,1.25,8.5,1.25,lbs,0.3,FEFO,0.71,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$4.03,"Electric toothbrush, alkaline battery enclosed",FALSE,,,,,,,,,,
900-00141,"FINISHED GOOD, FLATS, BRUSH HEAD REFILL, ALL YELLOW KIDS",Other,barcode,90000141,"Quip, NYC Inc","FINISHED GOOD, FLATS, BRUSH HEAD REFILL, ALL YELLOW KIDS",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,0.71,20,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,CN,$1.07,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00142,"FINISHED GOOD, FLATS, BRUSH HEAD REFILL, ALL WHITE",Other,barcode,90000142,"Quip, NYC Inc","FINISHED GOOD, FLATS, BRUSH HEAD REFILL, ALL WHITE",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,0.77,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,CN,$0.71,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00145,"FINISHED GOOD, BRUSH HEAD PINK",Other,barcode,90000145,"Quip, NYC Inc","FINISHED GOOD, BRUSH HEAD PINK",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,1.28,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,CN,$0.770,Brush Head,FALSE,,,,,,,,,,
900-00150,"FINISHED GOOD, STRAND, PLASTIC WHITE",Other,barcode,90000150,"Quip, NYC Inc","FINISHED GOOD, STRAND, PLASTIC WHITE",Each,inches,1,3.9,1,lbs,41.94,FEFO,2.55,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$2.53,"Dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00160,"FINISHED GOOD, MOUTHWASH, PLASTIC",Other,barcode,90000160,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH, PLASTIC",Each,inches,4,4,10,lbs,0.75,FEFO,4.4,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$4.40,"Mouthwash dispenser, refillable, non-electric (does not contain mouthwash)",FALSE,,,,,,,,,,
900-00161,"FINISHED GOOD, VANDAM, METAL, ALL BLACK",Other,barcode,90000161,"Quip, NYC Inc","FINISHED GOOD, VANDAM, METAL, ALL BLACK",Each,inches,1.93,4.1,1.93,lbs,0.23,FEFO,4.13,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$8.41,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00163,"FINISHED GOOD, MOUTHWASH, SV",Other,barcode,90000163,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH, SV",Each,inches,4,4,10,lbs,0.75,FEFO,10.61,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$10.61,"Mouthwash dispenser, refillable, non-electric (does not contain mouthwash)",FALSE,,,,,,,,,,
900-00164,"FINISHED GOOD, MOUTHWASH, GD",Other,barcode,90000164,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH, GD",Each,inches,4,4,10,lbs,0.75,FEFO,10.62,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$10.62,"Mouthwash dispenser, refillable, non-electric (does not contain mouthwash)",FALSE,,,,,,,,,,
900-00165,"FINISHED GOOD, MOUTHWASH, CP",Other,barcode,90000165,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH, CP",Each,inches,4,4,10,lbs,0.75,FEFO,10.61,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$10.61,"Mouthwash dispenser, refillable, non-electric (does not contain mouthwash)",FALSE,,,,,,,,,,
900-00166,"FINISHED GOOD, MOUTHWASH, KK",Other,barcode,90000166,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH, KK",Each,inches,4,4,10,lbs,0.75,FEFO,10.69,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$10.68,"Mouthwash dispenser, refillable, non-electric (does not contain mouthwash)",FALSE,,,,,,,,,,
900-00167,"FINISHED GOOD, MOUTHWASH, ALL BLACK",Other,barcode,90000167,"Quip, NYC Inc","FINISHED GOOD, MOUTHWASH, ALL BLACK",Each,inches,4,4,10,lbs,0.75,FEFO,10.76,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3924.90.5650,CN,$10.76,"Mouthwash dispenser, refillable, non-electric (does not contain mouthwash)",FALSE,,,,,,,,,,
900-00169,"FG, GUM DISPENSER, METAL, SLATE",UPC,UPC,810033472107,"Quip, NYC Inc","FG, GUM DISPENSER, METAL, SLATE",Each,inches,3.9,1.5,1.5,lbs,0.22,FEFO,6.4,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$3.60,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00170,"FG, GUM DISPENSER, METAL, SILVER",UPC,UPC,810033472015,"Quip, NYC Inc","FG, GUM DISPENSER, METAL, SILVER",Each,inches,3.9,1.5,1.5,lbs,0.22,FEFO,0.74,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$3.60,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00171,"FG, GUM DISPENSER, METAL, COPPER",UPC,UPC,810033472152,"Quip, NYC Inc","FG, GUM DISPENSER, METAL, COPPER",Each,inches,3.9,1.5,1.5,lbs,0.22,FEFO,6.43,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$3.60,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00172,"FG, GUM DISPENSER, METAL, GOLD",UPC,UPC,810033472008,"Quip, NYC Inc","FG, GUM DISPENSER, METAL, GOLD",Each,inches,3.9,1.5,1.5,lbs,0.22,FEFO,1.4,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$3.60,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00173,"FINISHED GOOD, GUM DISPENSER, ALL BLACK",UPC,UPC,810033472060,"Quip, NYC Inc","FINISHED GOOD, GUM DISPENSER, ALL BLACK",Each,inches,3.9,1.5,1.5,lbs,0.22,FEFO,0.58,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$3.72,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00174,"FG, GUM DISPENSER, METAL, PLASTIC",UPC,UPC,810033471988,"Quip, NYC Inc","FG, GUM DISPENSER, METAL, PLASTIC",Each,inches,3.9,1.5,1.5,lbs,0.20,FEFO,6.7,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$2.24,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00176,"FINISHED GOOD, TOOTHBRUSH, SMART-A, ALL-PINK",Other,barcode,90000176,"Quip, NYC Inc","FINISHED GOOD, TOOTHBRUSH, SMART-A, ALL-PINK",Each,inches,1,8.25,1,lbs,0.20,FEFO,8.37,40,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8509.80.5045,CN,$11.12,"Electric toothbrush, alkaline battery enclosed, bluetooth-enabled",FALSE,,,,,,,,,,
900-00180,"FINISHED GOOD, FLATS, BRUSH HEAD REFILL, SMART-A, ALL-PINK",Other,barcode,90000180,"Quip, NYC Inc","FINISHED GOOD, FLATS, BRUSH HEAD REFILL, SMART-A, ALL-PINK",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,0.71,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,CN,$0.710,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00181,"FINISHED GOOD, FLOSS PICK REFILL, PTFE, 1PK",Other,barcode,90000181,"Quip, NYC Inc","FINISHED GOOD, FLOSS PICK REFILL, PTFE, 1PK",Each,inches,0.5,2,0.5,lbs,0.20,FEFO,1.26,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$1.26,Dental floss,FALSE,,,,,,,,,,
900-00185,"FINISHED GOOD, FLATS, EXTRA SOFT BRUSH HEAD REFILL, ALL BLACK",Other,barcode,90000185,"Quip, NYC Inc","FINISHED GOOD, FLATS, EXTRA SOFT BRUSH HEAD REFILL, ALL BLACK",Each,inches,3.7,0.5,0.5,lbs,0.20,FEFO,8.02,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,9603.21.0000,US,$0.970,"Plastic toothbrush head, non-electric",FALSE,,,,,,,,,,
900-00190,"FINISHED GOOD, TOOTHPASTE, APAC, MINT, 4.6oz",Other,barcode,90000190,"Quip, NYC Inc","FINISHED GOOD, TOOTHPASTE, APAC, MINT, 4.6oz",Each,inches,2,6.5,1.25,lbs,0.317,FEFO,27.98,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.90.0000,US,$1.58,Toothpaste Anticavity,FALSE,,,,,,,,,,
900-00191,"FINISHED GOOD, TOOTHPASTE, APAC, WATERMELON, 4.6oz",Other,barcode,90000191,"Quip, NYC Inc","FINISHED GOOD, TOOTHPASTE, APAC, WATERMELON, 4.6oz",Each,inches,2,6.5,1.25,lbs,0.314,FEFO,28.7,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.90.0000,US,$1.50,Toothpaste Anticavity,FALSE,,,,,,,,,,
900-00210,"FINISHED GOOD, FLOSS PICK, ALL-PINK",Other,barcode,90000210,"Quip, NYC Inc","FINISHED GOOD, FLOSS PICK, ALL-PINK",Each,inches,1.93,4.1,1.93,lbs,0.20,FEFO,1.26,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8205.59.5560,CN,$8.95,"Dental pick, dental floss, refillable canister, non-electric",FALSE,,,,,,,,,,
900-00211,"FINISHED GOOD, GUM DISPENSER, ALL-PINK",UPC,UPC,810033471995,"Quip, NYC Inc","FINISHED GOOD, GUM DISPENSER, ALL-PINK",Each,inches,3.9,1.5,1.5,lbs,0.22,FEFO,1.48,10,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.90.0080,CN,$4.23,"Gum dispenser, refillable, non-electric (does not contain gum)",FALSE,,,,,,,,,,
900-00213,"FINISH GOOD, FLATS, FLOSS REFILL, NYLON",Other,barcode,90000213,"Quip, NYC Inc","FINISH GOOD, FLATS, FLOSS REFILL, NYLON",Each,inches,0.5,2,0.5,lbs,0.20,FEFO,13.6,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$1.74,Dental floss,FALSE,,,,,,,,,,
900-00214,"FINISHED GOOD, FLATS, FLOSS REFILL, PTFE",Other,barcode,90000214,"Quip, NYC Inc","FINISHED GOOD, FLATS, FLOSS REFILL, PTFE",Each,inches,0.25,2,0.25,lbs,0.20,FEFO,17.18,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$1.88,Dental floss,FALSE,,,,,,,,,,
900-00216,"FINISHED GOOD, FLOSS PICK REFILL, PTFE, 1PK",Other,barcode,90000216,"Quip, NYC Inc","FINISHED GOOD, FLOSS PICK REFILL, PTFE, 1PK",Each,inches,1.75,2.25,0.5,lbs,0.23,FEFO,6.49,7,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3306.20.0000,CN,$1.39,Dental floss,FALSE,,,,,,,,,,
900-00229,"FINISHED GOOD, WATER FLOSSER, ALL BLACK",UPC,UPC,810033470950,"Quip, NYC Inc","FINISHED GOOD, WATER FLOSSER, ALL BLACK",Each,inches,3.7,8.7,2.6,lbs,0.90,FEFO,1.21,30,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8424.89.9000,TH,$28.25,"Electric water flosser, Li-ion battery enclosed",TRUE,Lithium Ion Batteries contained in equipment (including lithium ion polymer batteries),9,3481,II,"Sea, Air, Ground",FALSE,TRUE,2.2,Installed,1
900-00230,"FINISHED GOOD, WATER FLOSSER, SLATE",UPC,UPC,810033472039,"Quip, NYC Inc","FINISHED GOOD, WATER FLOSSER, SLATE",Each,inches,3.7,8.7,2.6,lbs,0.90,FEFO,1.26,30,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8424.89.9000,TH,$28.64,"Electric water flosser, Li-ion battery enclosed",TRUE,Lithium Ion Batteries contained in equipment (including lithium ion polymer batteries),9,3481,II,"Sea, Air, Ground",FALSE,TRUE,2.2,Installed,1
